title,text
Ryan Garcia Beats The Crap Out Of Devin Haney ... Yet Still Not Champ,"
           Ryan Garcia  scored a major upset over boxing champion  Devin Haney , knocking him on his ass THREE TIMES during the dramatic bout. 
       
           Garcia stood toe-to-toe with Haney -- the WBC junior lightweight title holder -- Saturday night at Brooklyn's Barclay's Center. The two went the distance, pulverizing each other for 12 grueling rounds. 
       
           In the end, Garcia snagged the majority decision, and, deservedly so, after he repeatedly dropped Haney to the canvas with powerful blows. 
       
           Check out this video showing all the knockdowns ... The first occurred in the 7th round when Garcia hit Haney in the head with a left hook. 
       
           Then came another left hook from Garcia in the 10th round, leveling Haney. And finally, in the 11th round, Garcia did it again with yet another left hook! 
       
           Clearly, Haney didn't get the memo about Garcia's lethal left punch. 
       
           But, Haney retained his title because Garcia failed to make weight before the fight, disqualifying him from winning the belt, yet the boxing event still went forward. 
      "
NASCAR Massive Crash At Talladega ... Tyler Reddick Ends Up Winning,"
           A brutal crash went down in the closing moments of NASCAR's Geico 500 at Talladega on Sunday ... taking out several cars in the final lap and paving the way for  Tyler Reddick  to come away with the win. 
       
           The dramatic moment took place right before the checkered flag was waved ... when  Michael McDowell  -- who led 36 laps of the race -- triggered the chaos after attempting to block  Brad Keselowski . 
       
           The two traded places multiple times, but McDowell's last effort made contact with Keselowski ... and that's when Michael's Ford Mustang turned sideways and caused the massive wreck. 
       
           A bunch of drivers lost control on the racetrack, crashing into each other, including one car that went airborne onto the wall. Thankfully, none of the drivers reported any serious injuries. 
       
           Many ended the race shaking their heads, but the 23XI driver was clearly thrilled with the result ... 'cause he was able to dodge the pileup and get his first win at Talladega. 
       
           Michael Jordan  was proud of his driver's crazy win ... and celebrated with his family, including Reddick's son. 
       
           This is Reddick's sixth Cup Series win of his career ... and given how he earned it, it may be one of the most memorable. 
      "
Jake Plummer Down For Pat Tillman HOF Honor ... But I Know His Legacy Will Go On Regardless,"
           If  Pat Tillman  ever gets honored at the Pro Football Hall of Fame,  Jake Plummer  will be the first one there for the ceremony ... although he tells  TMZ Sports  if it doesn't happen, he knows the hero's legacy will go on regardless. 
       
           Plummer and Tillman were good pals before the Army ranger's tragic death in 2004 -- the two played together at Arizona State and then once more with the Arizona Cardinals -- and when we asked if it was time to include the former defensive back in Canton, Plummer said he'd be for it. 
       
           After all, despite playing in just 60 games in his pro career, there might not be a more universally respected person in the history of the NFL. 
       
           ""If it was about impact,"" the ex-Cards quarterback said, ""then, hell yeah, he should be in there."" 
       
           But, Plummer said he's not going to sweat it if Tillman never gets a bust someday... telling us he's not even sure if Pat would've wanted the honor -- because he was just that humble. 
       
           Plus, Plummer can take solace in knowing Pat's already kind of in there -- explaining to us someone snuck a Tillman card into a mural that's already up in the museum. 
       
           Monday, if you weren't aware, marks the 20th anniversary since Tillman was killed while serving his country ... and Plummer has already spent a ton of time this month remembering his good friend. He participated in the Pat's Run race in Tempe with some 30,000 others on April 13 -- and, in between, he tells us Pat's been all over his mind too. 
       
           ""I think about him a lot,"" Jake said, ""and I know he's inspiring a lot of people to be better."" 
       
           We discussed Pat's legacy on a previous episode of  Last Days , available on all podcast platforms. 
      "
Mike Jenkins Ex-Dallas Cowboys Star Involved In Heated Confrontation At Florida Bar,"
           Former Dallas Cowboys star  Mike Jenkins  was involved in a heated confrontation at a Florida bar over the weekend ... video obtained by  TMZ Sports  shows. 
       
           The incident happened at The Kenwood on Sunday night in St. Petersburg ... after Jenkins had apparently become upset with the way one of the establishment's employees had handled his credit card. 
       
           A witness tells us the worker had either misplaced or lost Jenkins' plastic -- which agitated the former 2008 NFL Draft first-round pick. 
       
           According to the witness, after making a scene inside the bar, Jenkins -- a University of South Florida alum -- then went outside and screamed at a security guard at the door. 
       
           In footage from the scene, you can hear the ex-defensive back drop cuss words left and right -- while insisting he did nothing wrong. Then, at one point, you can hear him yell, ""Give me my motherf***ing card!"" 
       
           A rep for the St. Petersburg Police Dept. tells us cops were dispatched to the bar at around 1:39 AM on Monday morning due to ""a fight or disturbance."" However, the spokesperson said no arrests were made. The rep added that Jenkins was issued a trespass warning -- and nothing more. 
       
           We've made multiple attempts to reach out to Jenkins for comment, but so far, we haven't heard anything back yet. 
       
           39-year-old Jenkins played in 71 games in his five seasons in Dallas -- and made one Pro Bowl in 2009. Following his time in Big D, he logged snaps with the Raiders and Buccaneers. 
       
           In 2016, Jenkins tried to latch on with the Cardinals, but he got injured in the preseason ... and never played another down in the NFL again. 
      "
"Ne-Yo Let Polygamists Do What They Want ... But, No Marriage For Me","
           Ne-Yo  wants the government to stay out of his love life ... saying he thinks polygamists should be allowed to marry multiple people -- while holding hands with his two partners! 
       
           We caught up with the singer-songwriter at The Grove in Los Angeles Thursday ... and he made his feelings pretty clear ... consenting adults should do whatever the hell they want in their love lives without government interference. 
       
           That said, Ne-Yo says he's not going to Washington, D.C. to fight for a law change ... 'cause it's not currently affecting his personal life, and he's not sure he wants to marry multiple women. 
       
           We also asked Ne-Yo why he doesn't write songs about dating multiple women ... and, he says it's 'cause he draws on his own life experiences, and this is his first relationship with two women. 
       
           And, we even asked Ne-Yo's GFs if they're interested in walking down the aisle together to marry the star ... and, ya gotta see their reactions to the question. 
       
           Ne-Yo enjoying a polygamous relationship ain't new ... remember, we told you Ne-Yo was spotted down in Miami  holding hands with two women  last summer -- after  his divorce  from ex-wife,  Crystal Renay . 
       
           The two split in part because of Ne-Yo's infidelity ... and, it seems a relationship with two women may suit him better than a relationship with just one. 
       
           Anyhoo ... no wedding bells for Ne-Yo in the future -- both by law and by choice! 
      "
Kanye & Bianca Out For An Afternoon Drive ... Battery Report No Big Deal,"
           Kanye West  and  Bianca Censori  seemed to be in good spirits this week ... driving around L.A. in separate cars -- this just hours after a man filed a battery report against Ye. 
       
           Photogs snapped the couple caught in rush hour traffic Wednesday -- and they were rolling in completely different vehicles. BC was piloting her Porsche and Ye was riding shotgun in a Cybertruck ... both seemingly happy and healthy after what sounds like a tough night. 
       
           Hard to tell what Bianca's wearing here -- unclear if it's her  usual level of sheer  or not -- but, she's got her eyes firmly fixed on the road while waiting at traffic lights in her sweet ride. 
       
           Ye, meanwhile, was looking at his phone and chatting up the other two dudes in his own whip. The trio seems totally unbothered by Kanye's potential legal issues -- which may or may not amount to anything as LAPD delves into their investigation. 
       
           We broke the story ...  cops are investigating Ye  after he allegedly hit a guy who his team claims sexually assaulted Bianca. Law enforcement sources tell us Kanye and Bianca took off after the alleged altercation, and the guy claiming Ye hit him didn't need medical attention. Ye's team says the man in question had assaulted Bianca. 
       
           It's interesting Ye and Bianca are already back out in public so soon after something like that ... and yet they are. From the looks of it, the whole saga is the furthest thing from their mind. 
       
           Remember, this isn't the first time Ye's been in the crosshairs of the legal system -- he's been  accused of getting handsy  with people in public in the past ... but he's never been criminally charged over the past episodes. 
       
           In any case, seems like the couple's doing just fine ... just keep on rolling, we suppose. 
      "
Pete Rose Roasts Ohtani Over Betting Scandal ... At Autoraph Signing,"
           Pete Rose  trolled  Shohei Ohtani  over the weekend, poking fun at the Dodgers superstar at an autograph signing ... all over the  Ippei Mizhuara  betting scandal. 
       
           ""SORRY I BET ON BASEBALL"" and ""OHTANI IS SORRY ALSO"" are two of the phrases the hit king signed at the Fiterman Sports Group signing in St. Paul, Minnesota ... attended by a large group of collectors. 
       
           83-year-old Rose also signed ... ""I WISH I HAD AN INTERPRETER"" 
       
           Of course, Pete was permanently banned by MLB in 1989 after an investigation concluded he bet on baseball while manager of the Reds. Rose denied the claim for more than a decade, before finally admitting in 2004 that he had placed wagers. 
       
           The all-time hit leader doesn't believe Ohtani is innocent -- federal investigators have said he's a victim -- but Rose doesn't buy it. 
       
           Major League Baseball has pressed pause on their investigation, opting to wait until Mizuhara's criminal case is closed, to determine if they'll investigate Ohtani, or anyone else involved, any further. 
       
           But, you know where Pete stands. 
      "
"Touré Drake Started Battle, Kendrick Will Win War ... Gonna Be Tragic!!!","
           Drake  will be licking his wounds and bowing to King  Kendrick Lamar  ... a shameful sight  Touré  says will become Drake's reality after their rap battle is all said and done. 
       
           The tenured music and cultural critic hopped on ""TMZ Live"" on Thursday and pinpointed what he feels are dings in Drake's armor ... mainly his comeback response, which Touré isn't all that impressed with. 
       
           Drake has been owning up to his ""Push Ups (Drop & Give Me Fifty)"" track ... using the lyrics to tease both  Metro Boomin  and Kendrick's manager on social media ... but Touré feels sneaky tactics pale in comparison to the points K. Dot has already put on the board. 
       
           Remember, Kendrick's feature on  Future  and Metro's  ""Like That"" record  has been No. 1 on the Hot 100 for 3 straight weeks now and Touré is daring any DJ to try and drop ""Push Ups"" in the club ... he says the song will bomb!!! 
       
           Touré says Kendrick and everyone else is well within their rights to fire back at Drake after years of sneak disses ... and he's strongly against giving Drake a handicap for not showing signs of obliteration. 
       
           It's an interesting viewpoint ... especially since Drake claimed it was Kendrick who gets the benefit of the doubt over him. 
       
           At any rate, Touré's convinced a Kendrick nuke is coming. His backers are speaking similar code. 
      "
Ne-Yo Gets Warning from Carl Thomas ... Throuple Not All It's Cracked Up to Be!!!,"
           Ne-Yo  is happily living his truth as a non-monogamous man -- but his R&B OG  Carl Thomas  is forewarning him that 2 heads aren't always better than one!!! 
       
           The ""Because Of You"" singer was turning heads in L.A. yesterday when TMZ Hip Hop caught him at The Grove with both of his girlfriends -- and, though he told us he's not looking to get hitched anytime soon, he IS  loving the lifestyle !!! 
       
           Carl's a little older than Ne-Yo but added his own 2 cents to the convo after The Shade Room reposted our clip -- he says he once entertained a throuple situation but says time and wisdom changed his ways. 
       
           The singer was once a platinum-selling powerhouse on  Diddy 's Bad Boy Records in the early 2000s, when you gotta imagine he had plenty of options in the female department. But, now he's testifying to being a one-woman man, and seems to believe Ne-Yo will eventually narrow down his options too. 
       
           Ne-Yo's fresh off  a divorce , and told us everyone's situation varies. 
      "
"Drake My Diss Is Streaming ... Now What, Chumps?!?","
           Drake  officially owned up to his ""Push Ups"" diss track against  Kendrick Lamar ,  Metro Boomin , etc. ... the song is now available on streaming services --  DJ Whoo Kid  tag, copyright stamps and all!!! 
       
           As of Friday, the move puts to bed speculation that the song  was a product of AI , or that Drake was scared to claim it on the charts. 
       
           We just had  Touré  on ""TMZ Live"" ... and he doesn't think Drake's diss  has the quality to move units  or butts on the dance floor. 
       
           The upcoming week will be the ultimate test!!! 
       
           Drake recently scoffed at K. Dot's longtime associate,  DJ Hed , after it was suggested Kendrick wasn't in a rush to disrupt the runaway success of his  Drake diss, ""Like That""  ... which has now spent 3 weeks atop Billboard's Hot 100. 
       
           Drake says Hed is being used as a blind spokesperson as Kendrick's team scrambles for answers to ""Push Ups"" -- basically, he thinks the silence is deafening!!! 
       
           Sources close to the situation tell us Kendrick is 100% going to drop ... it's just a matter of when!!! 
      "
