title,text
Robert Kraft 'Deeply Saddened' By Columbia Univ. ... Cuts Off Funding,"
           Robert Kraft  graduated from Columbia in '63, and has been a huge proponent of the school in every way, including financially ... but all that changed Monday when the billionaire Patriots owner made it clear he wasn't going to stand by and watch his University be taken over by hate and vitriol. 
       
           ""The school I love so much - the one that welcomed me and provided me with so much opportunity - is no longer an institution I recognize,"" 82-year-old Kraft said in a statement released by  Stand Up To Jewish Hate , adding, ""I am deeply saddened at the virulent hate that continues to grow on campus and throughout our country."" 
       
           Of course, since mid-last week, students and others have taken to Columbia's NYC campus to demand the University sever all ties to Israel. Some protestors have been seen showing support for Hamas and their actions on October 7, even calling for repeated attacks. 
       
           The situation has gotten so tense on campus, classes have been switched from in-person to virtual. 
       
           Kraft believes the school has lost a handle on the situation, and cannot adequately protect their students. 
       
           ""I am no longer confident that Columbia can protect its students and staff and I am not comfortable supporting the university until corrective action is taken. It is my hope that Columbia and its leadership will stand up to this hate by ending these protests immediately and will work to earn back the respect and trust of the many of us who have lost faith in the institution."" 
       
           While Robert is far from the only alumnus speaking out, he's certainly one of the most influential. In fact, the Kraft Center for Jewish Student Life, an on-campus hub for Jewish students, bears his name. 
       
           Over the weekend, The White House issued a statement admonishing those at Columbia who aren't peacefully protesting, and rather threatening to harm Jewish students. 
       
           ""While every American has the right to peaceful protest, calls for violence and physical intimidation targeting Jewish students and the Jewish community are blatantly antisemitic, unconscionable, and dangerous."" 
      "
BEYONCÉ THESE LUSCIOUS LOCkS?! ALL MY OWN! Slams Haters in Tutorial,"
           Beyoncé 's shutting down the haters and showing she's more than just wigs and extensions ... by embracing her luscious, natural locks while promoting her new natural hair care line. 
       
           The singer dropped her in-depth hair-washing routine on IG Sunday ... embracing her naturally thick, glossy tresses as they were washed, conditioned, blow-dried, and styled using products from her own brand, Cécred. 
       
           While her stylists worked their magic, Beyoncé narrated, ""Now that Cécred is known for the quality in what it does for your hair, I think it's about time I show y'all what it does for my hair."" 
       
           Beyoncé also appeared to address the backlash she's been getting since announcing the beauty venture back in February. Some fans complained Bey lacks credibility in the hair biz because they hadn't seen enough of her real hair ... as opposed to hair extensions she wears for productions. 
       
           She's clearly heard the criticism, because during the tutorial ... Beyoncé called out the misconception that people who wear wigs and extensions don't have long and healthy hair underneath, labeling it ""some bulls**t cause it ain't nobody's business!"" 
       
           Beyoncé's dad,  Mathew Knowles , already stepped up to back his daughter ... telling TMZ she definitely knows a thing or 2 about  keeping hair happy and healthy , considering he and   Tina Knowles  ran a successful salon in Houston for nearly 2 decades. 
       
           And, judging by Bey's hair care routine, looks like her products are totally making waves. Now, will that be enough to silence the hate? Of course not. 
      "
Brittany Mahomes Bikini Holds On For Dear Life ... On Yacht W/ Gal Pals,"
           Patrick Mahomes ' wife,  Brittany , really is a bikini model now -- the Sports Illustrated Swimsuit rookie put her stunning body on display during her vacation in Mexico ... and flaunted some serious underboob in the process. 
       
           The Kansas City Chiefs superstar and his longtime partner had a romantic trip in Cabo San Lucas over the past several days ... but on Sunday, it was all about the girls. 
       
           Brittany was spotted on a luxurious yacht with at least four other ladies ... soaking up the sun as they lounged on the back deck. 
       
           Britt rocked a tiny, orange two-piece for the occasion ... which is something she's quite accustomed to lately, as she was named to  SI's newest swimsuit issue  back in February. 
       
           No word on what all the ladies got into ... but chances are they had  Taylor Swift 's new 'Tortured Poets Department' album blaring on the speakers, considering Brittany was  super pumped  for  Travis Kelce 's girlfriend when the project dropped. 
       
           It was quite the eventful trip for the Mahomeses -- as we previously reported, the couple was  heckled by Raiders fans  while out at dinner together last week. 
       
           But all good things come to an end ... and same goes for the trip -- after all, the next football season will be here before ya know it. 
      "
T-Pain Victim in ATL Hit-and-Run ... Vows REVENGE!!!,"
           So much for Sunday Funday  ...  T-Pain 's weekend came to a crashing end in Atlanta, when a speeding driver severely rear-ended the Auto-Tune Don's vehicle, and fled the scene without a word!!! 
       
           A calm yet irritated T-Pain went live from the scene of the accident and pointed out a very valuable clue for police ... the driver had left their bumper in the street, and it was only a matter of time before they matched the silver Chevy with the missing part. 
       
           Turns out he was right ... T-Pain posted an update, letting fans know the driver had been caught, and gauging by his use of the 😈 emoji, he plans on showing the guy no mercy. 
       
           He says the principle of the driver not stopping to check on their well-being is what got him hot, although it appeared his own personal driver was headed to the hospital for medical attention. 
       
           The crash forced T-Pain to alter his packed itinerary but something tells us he'll make up for it in legal justice. 
      "
CELINE DION GIVES RARE INSIGHT INTO LIFE WITH STIFF-PERSON SYNDROME,"
           Celine Dion  says she's doing all she can to prove nothing can hold her back, even as she copes with Stiff-Person Syndrome ... 2 years on from when she was first diagnosed. 
       
           The icon admits she's upset she hasn't conquered the disease yet -- but, as she provided a rare update about her health to  Vogue France , she insisted she was doing everything in her power to push forward in hopes science will eventually find a cure. 
       
           Celine acknowledges she's had serious moments of doubt, saying ... ""I have to learn to live with it now and stop questioning myself. At the beginning I would ask myself: why me? How did this happen? What have I done? Is this my fault?"" 
       
           She goes on, ""The way I see it, I have two choices. Either I train like an athlete and work super hard, or I switch off and it's over, I stay at home, listen to my songs, stand in front of my mirror and sing to myself."" 
       
           Celine explains she chose to work on her body and soul from head to toe ... pouring her all into rigorous athletic, physical and vocal therapy sessions 5 days a week to aid her recovery. 
       
           The legend's taking things one day at a time, but she's got her sights set on some big goals ... such as seeing the Eiffel Tower again and hitting the road for another tour. 
       
           Celine empoweringly added, ""There's one thing that will never stop, and that's the will. It's the passion. It's the dream. It's the determination."" 
       
           The ""My Heart Will Go On"" singer was  diagnosed with SPS  in 2022, and her sister previously revealed the autoimmune disorder, at times,  leaves Celine completely immobilized . 
       
           But Celine's managed to power through, making some appearances at  NHL games  and also  the Grammys , where she presented  Taylor Swift  with her  Album of the Year award . 
      "
David Beckham Sues Mark Wahlberg's Co. ... You're Unfit to Make Fitness Deals!!!,"
           Two fitness titans are on a path to square off in court, because  David Beckham  has sued  Mark Wahlberg 's company over a fitness deal that made the former soccer star way lighter in the wallet. 
       
           Beckham's company, DB Ventures Ltd, alleges in the lawsuit F45 ""duped"" him into signing on with F45 Training, a company in which Wahlberg has a 36% interest. M.W. also serves as the company's chief brand officer. 
       
           Beckham, who got close to Mark when he moved to Cali to play for the L.A. Galaxy, became F45's Global Ambassador. The selling point -- David has millions of social media followers, so it would presumably greatly expand the reach of the company. 
       
           Well, things didn't work out. Beckham says he never got the $10 mil he was promised ... this after the company's stock tanked. BTW ... those posts have been deleted. 
       
           F45 asked the judge to 86 the lawsuit, calling it ""fraudulent,"" but the judge said the case will move on. 
       
           BTW ... David's not alone.  Terrell Owens  filed the same type of suit against F45 way back in 2017, claiming the company stiffed him to the tune of $700,000. 
      "
David Zucker Not Involved In 'Naked Gun' Remake ... No One's Reached Out!!!,"
           David Zucker 's not excited about ""The Naked Gun"" remake ... saying he's not involved with the project, and he's worried the team behind it doesn't realize how difficult the spoof is. 
       
           We spoke with Zucker -- director of famous classic comedies like 'Naked Gun' and ""Airplane!"" -- about the Paramount+ remake starring  Liam Neeson  and  Pamela Anderson  ... and, he says he doesn't know how it's going to turn out 'cause no one's reaching out to him. 
       
           Zucker says he and his partners,  Pat Proft  and  Mike McManus  submitted a script to Paramount back in 2018 ... and says they thought the studio liked the concept. 
       
           So, he says it came as a bit of a shock when they handed the franchise to a totally different set of creatives ... who he says haven't even reached out for advice or a possible cameo. 
       
           As for how they'll handle the material ... DZ says this type of spoof isn't rocket science, but it sure ain't easy -- adding he often says, ""Don't try this at home"" when it comes to this style. 
       
           And, David says he's not convinced a remake's necessary -- 'cause younger generations are already finding movies like 'Naked Gun,' ""Airplane!"", ""Top Secret!"" and more on their own. 
       
           BTW ... watch the clip til the end to hear Zucker's thoughts on  O.J. Simpson 's acting in 'Naked Gun' -- and, you can see the comedy legend's still got it! 
       
           News of the 'Naked Gun' remake broke this week ... with Neeson and Anderson attached to star and Lonely Island/'SNL' alum  Akiva Schaffer  to co-write and direct. 
       
           In any case, Zucker's skeptical about the project ... unsure if it'll hit its target, or end up misfiring completely. 
      "
Jake Plummer Down For Pat Tillman HOF Honor ... But I Know His Legacy Will Go On Regardless,"
           If  Pat Tillman  ever gets honored at the Pro Football Hall of Fame,  Jake Plummer  will be the first one there for the ceremony ... although he tells  TMZ Sports  if it doesn't happen, he knows the hero's legacy will go on regardless. 
       
           Plummer and Tillman were good pals before the Army ranger's tragic death in 2004 -- the two played together at Arizona State and then once more with the Arizona Cardinals -- and when we asked if it was time to include the former defensive back in Canton, Plummer said he'd be for it. 
       
           After all, despite playing in just 60 games in his pro career, there might not be a more universally respected person in the history of the NFL. 
       
           ""If it was about impact,"" the ex-Cards quarterback said, ""then, hell yeah, he should be in there."" 
       
           But, Plummer said he's not going to sweat it if Tillman never gets a bust someday... telling us he's not even sure if Pat would've wanted the honor -- because he was just that humble. 
       
           Plus, Plummer can take solace in knowing Pat's already kind of in there -- explaining to us someone snuck a Tillman card into a mural that's already up in the museum. 
       
           Monday, if you weren't aware, marks the 20th anniversary since Tillman was killed while serving his country ... and Plummer has already spent a ton of time this month remembering his good friend. He participated in the Pat's Run race in Tempe with some 30,000 others on April 13 -- and, in between, he tells us Pat's been all over his mind too. 
       
           ""I think about him a lot,"" Jake said, ""and I know he's inspiring a lot of people to be better."" 
       
           We discussed Pat's legacy on a previous episode of  Last Days , available on all podcast platforms. 
      "
Pete Rose Roasts Ohtani Over Betting Scandal ... At Autoraph Signing,"
           Pete Rose  trolled  Shohei Ohtani  over the weekend, poking fun at the Dodgers superstar at an autograph signing ... all over the  Ippei Mizhuara  betting scandal. 
       
           ""SORRY I BET ON BASEBALL"" and ""OHTANI IS SORRY ALSO"" are two of the phrases the hit king signed at the Fiterman Sports Group signing in St. Paul, Minnesota ... attended by a large group of collectors. 
       
           83-year-old Rose also signed ... ""I WISH I HAD AN INTERPRETER"" 
       
           Of course, Pete was permanently banned by MLB in 1989 after an investigation concluded he bet on baseball while manager of the Reds. Rose denied the claim for more than a decade, before finally admitting in 2004 that he had placed wagers. 
       
           The all-time hit leader doesn't believe Ohtani is innocent -- federal investigators have said he's a victim -- but Rose doesn't buy it. 
       
           Major League Baseball has pressed pause on their investigation, opting to wait until Mizuhara's criminal case is closed, to determine if they'll investigate Ohtani, or anyone else involved, any further. 
       
           But, you know where Pete stands. 
      "
'TMZ Presents Arnold & Sly' Torn Pec Forced 'Rocky II' Change ... Sly Brings the Pain!!!,"
           Sylvester Stallone  came within a hair's breadth of tanking ""Rocky II"" because of a gruesome injury, and you won't believe how he powered through to shoot the flick! 
       
           Sly and  Arnold Schwarzenegger  sat down with  Harvey , and for the first time ever together they talked about their unbelievable rivalry and how it blossomed into a close friendship. 
       
           Arnold's trainer and compadre, bodybuilding legend  Franco Columbu , trained Sly for ""Rocky II,"" and when Franco challenged Sly to a bench press competition, the actor was game ... until he ripped his pec off the bone. 
       
           Here's the problem. The injury occurred a month-and-a-half before Sly was set to star in and direct the 'Rocky' sequel -- so, you gotta see him explain how he pulled it outta the fire! 
       
           As 'Rocky' fans know, Balboa's normally a southpaw (lefthanded), but in ""Rocky II"" he learns to fight righthanded. That wasn't just a random plot twist -- turns out it was the only way Sly could film with his injury. 
       
           As Sly put it to us ... pushing through the pain is just what driven folks like Arnold and himself did to make it to the top. 
       
           ""TMZ Presents Arnold & Sly: Rivals, Friends, Icons"" airs Tuesday at 8/7 Central on FOX. 
      "
